start,end,text
0,5560," Yeah, and this whole thing is basically just letting AI choose our fate, right?"
5560,10000," Because my plot is just trying to invest in the inner structure to spell plot."
10000,11000," Yeah."
11000,12120," This is false take-off."
12120,13120," Yeah, exactly."
13120,14120," He's investing in you."
14120,26600," All right, we are live, June 25th, permanent Underpod episode number three."
26600,29280," You got your boy, Jackson, Cupp, wearing pants."
29280,32320," I'm Chris Doran, also wearing pants."
32320,37280," Tyler, regrettably also wearing pants."
37280,40760," And yeah, today is going to be a good day."
40760,42560," What do you guys think?"
42560,46960," I think it could be a very good day or a very bad day, depending on how the next segment"
46960,47960," pans out."
47960,48960," But I don't know."
48960,49960," Spoiler it."
49960,50960," Okay."
50960,51960," Yeah."
51960,52960," No spoiler."
52960,53960," How's Pico, Tyler?"
53960,54960," Pico's thriving."
54960,55960," He's moisturized."
55960,56960," He's in his lane, unbothered."
56960,59480," Did he finish eating meat, or what?"
59480,61640," Yeah, he went back."
61640,65880," He was eating a chicken and rice diet, which is like luxury for him, and now he's just"
65880,66880," back on the kibble."
66880,71120," He was pretty disappointed about that, but you know, dog life, you got to eat your kibble."
71120,72120," Dude, it was crazy."
72120,76800," I went to your house and there was like this big old stack of meat, and you guys said it"
76800,77800," was for feeding Pico."
77800,78800," Yeah."
78800,80400," Because of his bleeding butt."
80400,81400," Yeah."
81400,86480," We took, we have like a freezer in the basement and we go to Costco and just buy a giant pack"
86480,87480," of chicken."
87480,91720," I think we took out like two Costco size packs of chicken thighs and cooked them up."
91720,96440," But then, so they're just like plain chicken thighs and we just make rice in a rice cooker"
96440,98600," and we just mix it and put it in his bowl."
98600,100880," But then like mid week, he was like fine."
100880,104760," And so we put him back on kibble, but we still had all this chicken and rice."
104760,106240," And so we just ate it ourselves."
106240,107240," Wow."
107240,110080," So we were basically eating dog food, which is legit."
110080,114000," I choose to believe that Pico was just eating like gourmet mission and stuff."
114000,115000," Yeah."
115000,120120," Chicken thighs and rice, it's a basic, you put a little bit of sauce on it and it's a"
120120,121120," human meal again."
121120,122120," Yeah."
122120,125720," Were you like making eye contact with Pico while you were chewing his food?"
125720,128240," He was actually pretty upset about it."
128240,129240," Yeah."
129240,132320," You start microwaving the chicken and it gets like fragrant in the room and he's just like"
132320,135400," why are you eating that, but not me anymore?"
135400,137200," It's rough."
137200,138360," Poor Pico."
138360,139360," It's all right."
139360,140360," He's doing great."
140360,141360," He likes his kibble."
141360,146560," And I stopped having to like shove pills down his throat because he's off of his meds now"
146560,149880," and he's just free, free range Pico."
149880,150880," Nice."
150880,155800," Well, today we've got a GM packed agenda."
155800,160360," Number one, we're going to return to gambling on the pond, but we're going a little class"
160360,163960," here, a little more technical than a lottery ticket."
163960,170160," I choose to say this is like robo investing, you know, all the rage these days, robo investors."
170160,172760," So I think we're robo investing."
172760,174600," We call it investing 3.0."
174600,175600," Yes."
175600,180160," It's like the, to the, you know, investing what web three is to the web."
180160,181160," Yes."
181160,182160," I agree with that."
182160,183160," Yeah."
183160,184160," Okay."
184160,185160," Investing 3.0."
185160,186160," You heard it here first."
186160,189160," What about like agentic gambling or gamble?"
189160,194240," I don't think we should use the G was."
194240,195240," That's fair."
195240,196240," Yeah."
196240,198480," And after that, we're going to go into something super topical."
198480,204160," I know you guys are all thinking about our boy, Michael Saylor and micro strategy."
204160,209900," The Bitcoin expert is going to give a contrarian take and talk about micro strategy and if"
209900,216760," Bitcoin is D and maybe we'll talk about other stuff, but that's the high level agenda."
216760,220840," So you guys ready to dive into purple fortune?"
220840,221840," Yeah."
221840,222840," Let's let's play."
222840,223840," Purple fortune."
223840,224840," Are you feeling lucky?"
224840,225840," No."
225840,246720," So basically the rundown is, we had this idea that, you know, like, so we had this idea,"
246720,252040," you know, when we were talking about perps loss podcast, like, and also like we did the"
252040,253040," lottery ticket segment."
253040,258400," We thought, you know, what if we could, what if Claude could choose a perp for us, right?"
258400,263320," And it could do it in an automated fashion and, and we didn't have, you know, any hand"
263320,264400," in it."
264400,268540," And so we built this thing called purple fortune, which I think you're going to see right now."
268540,274080," And basically the prompt is that Claude has to choose any random perp from this perp menu,"
274080,279440," whose name I will not mention, and, and run it up on max leverage."
279440,283280," And throughout the podcast, we're going to be able to see how our Claude perp is doing"
283280,290080," and yeah, check in variously and yeah, just see if, you know, it's a, we get to retire"
290080,291080," this part."
291080,292080," Ooh."
292080,293080," Yeah."
293080,296640," I'm throwing down a hundred bucks of my own personal money not earned from the podcast."
296640,297640," Yeah."
297640,298640," So yeah."
298640,303400," And this whole thing is basically just letting AI choose our fate, right?"
303400,308960," Because even the idea came from the YouTube algorithm told us that our best performing"
308960,314340," short was the one where Claude was telling us about our lottery tickets."
314340,316920," So we were like, how can we extend that concept?"
316920,322560," We should have Claude choose perps to invest in over the course of one single podcast."
322560,327400," We put the money in and then over the course of an hour, depending on how much leverage"
