start,end,text
0,1860," So wait, do you need your laptop?"
1860,2800," Are we doing that thing?"
2800,6880," - Well, if we want to listen to the CLOD AI generated segment,"
6880,11560," but that's like an eight minute video or audio file."
11560,12720," So we don't have to listen to all of it."
12720,14080," I can just queue up a couple of minutes of it"
14080,15960," and then we can talk about it."
15960,17960," But we don't have to do that at all."
17960,21280," - Yeah, I don't have type of fortune set up."
21280,22120," - I see."
22120,23680," So this is a no-perfect fortune."
23680,27520," - I mean, I could set it up, but it would take five minutes."
27520,28480," - Five minutes?"
30760,33280," - I don't know."
33280,34320," Is it worth it?"
34320,35760," - No, I mean, we could roll type of fortune"
35760,38080," in the next episode, like maybe do a twist on it."
38080,39160," - Okay."
39160,40240," - Yeah, we're sorry."
40240,42160," We're sorry to our fans that love the pervert fortune,"
42160,44320," but the pervert fortune will not be here today."
44320,45320," - Wait, are we actually live?"
45320,46160," - We do."
46160,47000," We've been live."
47000,47840," - We're deliberating."
47840,50880," - Well, we weren't deliberating, but then we went live."
50880,53160," - We're giving away the alpha of our future segments."
53160,55280," - Unfortunately, then we're making a commitment."
55280,56120," - Yeah, we are."
56120,58240," Sorry, we're committing to, I let the team down."
58240,60240," - Do we do pervert fortune every time?"
60240,62120," - We did it one time."
62120,65600," - Yeah, it's the bottom of our franchise."
65600,68600," - Okay, so we are the pervert fortune podcast."
68600,70600," - It's just something that goes on in the background."
70600,75040," It's like a window dressing to all of our talks on the pod."
75040,76880," - Yeah, when they get tired of looking at our faces,"
76880,78160," they can look at the--"
78160,81400," - I would never get tired of looking at pervert fortune."
81400,83680," - Okay, well, yeah, we're live."
83680,85700," You may notice that we're in the fanciest place"
85700,87320," that anyone's ever been."
87320,89400," This is, we can't hide it,"
89400,91380," Presidio Bitcoin San Francisco."
91380,93960," Shout out to our homies at Presidio Bitcoin"
93960,97080," for setting us up in this amazing studio."
97080,100720," I mean, I feel like I don't deserve this."
100720,102920," - It's a big upgrade over our prior setup."
102920,107760," We went from zero to a hundred real quick."
107760,111000," - Sitting on a couch recording from my work laptop to--"
112000,113640," - I mean, I think we're pretty big."
113640,115740," I mean, I don't wanna talk about the shorts numbers,"
115740,118840," but our shorts do well."
118840,120800," - Yeah, we're doing good, yeah."
120800,122660," - Yeah, so I guess this is how we're rewarded."
122660,125440," Yeah, don't get used to this though, fans."
125440,127920," This is the only time this is ever gonna happen."
127920,131180," We're actually going fully remote following this podcast."
131180,135980," So we can enjoy our time together, our final time."
135980,139320," - With it up in the Baller podcast studio."
139320,141200," - That's right, permanent under pod."
141200,142640," This is Jackson."
142640,145680," You're a Korean financial markets expert/host."
145680,146720," We've got Tyler."
147720,149220," What are you?"
149220,150060," - I'm Tyler."
150960,152000," - And?"
152000,153760," - I'm Chris, I'm the guy who forgets to queue up"
153760,155320," pepper fortune."
155320,157200," - Yeah, you have him to blame."
157200,159320," Leave a comment if that makes you angry."
159320,160460," - You're the spot guy."
160460,162040," - Yeah, I'm the spot guy apparently."
162040,162880," - Yeah."
162880,165240," - That's what the AI thinks at least."
165240,167640," I don't know, what topic do you guys wanna..."
167640,170240," Actually, first, let's talk about our weeks."
170240,172400," Has everyone had an okay week?"
172400,173840," Anything interesting?"
173840,175240," - Absolutely nothing."
175240,176600," - Absolutely nothing."
176600,177720," - Yeah, pretty much not."
177720,180240," I went to the vet with Pico three times this week."
180240,181760," The saga keeps on giving."
181760,183880," - I mean, we gotta get our Pico update."
183880,185080," Is Pico okay?"
185080,190000," - He's okay, but he had some concerning blood markers"
190000,191240," on his follow-up visit."
191240,193840," So I had to take him to a different vet yesterday."
193840,196520," They shaved his stomach and they gave him an ultrasound"
196520,197960," so they could look at his liver."
197960,200880," And his liver seems fine, but it still has weird numbers."
200880,203800," And they're just like, whatever man, he looks healthy."
203800,205680," So they said, come back in two weeks"
205680,207280," and check his blood again."
207280,208200," - Wow."
208200,209360," - But yeah, huge pain in the butt"
209360,212440," 'cause I'm spending like hours and hours at the vet"
212440,213280," this week."
214200,216120," Yeah, I'm just trying to make sure"
216120,218160," that he's the healthiest guy that he can be."
218160,220160," - Are you putting him back on the chicken and rice?"
220160,222400," So now the dog's eating human food?"
222400,225200," - No, that would help us do numbers though."
225200,229200," If I blurred that line between dog and human food"
229200,230480," a little bit more again."
230480,231680," - I think I've let the team down."
231680,235520," So someone has to pick up the slack which might mean that."
235520,237600," - That is our best performing short."
237600,242160," Or I think it was until the one where I eviscerated Chris"
242160,244840," for playing Xbox as a 23 year old."
244840,245920," - I've been thinking about that all week."
245920,247240," That's what happened to me this week."
247240,250080," I was like, damn, I just got laid out so bad"
250080,251880," that it was our best performing short."
251880,253600," - How do you even recover from that?"
253600,254440," - I don't do."
254440,255280," I'm still here thinking about it."
255280,256640," - Are you still drinking Monster though?"
256640,257480," Or are you done with that?"
257480,258680," - Yeah, I had one this morning,"
258680,260240," but I threw it away before I got here"
260240,261800," so you guys wouldn't see."
261800,264760," - Yeah, it's important to hide your shame."
264760,265600," - I think so."
266800,267640," - Let's see."
267640,269280," Maybe I should say one good thing"
269280,270880," that's happened this week for me."
271760,273160," I can't think of anything."
274880,275920," - Fable came back."
275920,277200," - Oh dude, yeah."
277200,278720," That's almost like a segment though."
278720,279560," - Yeah."
279560,280400," - Fable's back."
280400,281240," - I don't wanna-"
281240,282800," - That didn't happen to Jackson personally, right?"
282800,283720," So like only he has Fable."
283720,284600," - I mean, it kinda did."
284600,289120," I feel like Jackson has like a quasi romantic relationship"
289120,290400," with Fable."
290400,291800," - It's like super weird."
291800,294240," So for those of you that don't know,"
294240,295480," the reason we're going fully remote"
295480,298560," is I'm not gonna be living in like a driving distance"
298560,300600," to my homies soon."
300600,302960," So I have like going away parties to go to"
302960,306480," and then like anthropic drops Fable five back"
306480,308520," to the mainstream, right?"
308520,310520," When I have to go to like a going away party"
310520,311880," and I'm like, screw all these people."
311880,315200," Like I'm just wanna grind, you know?"
315200,317400," - You know that meme where it's the guy from the Truman show"
317400,319160," and he's like, and now do this thing."
319160,321280," Like that's like Trump is like,"
321280,323760," and now release Fable five when Jackson has to go"
323760,327080," to a going away party with like three people."
328280,329680," You're probably more popular than that."
329680,330680," - Three people, jeez."
330680,332000," That's harsh actually."
332840,334800," - I'm the resident hater of the podcast."
334800,336640," (laughing)"
336640,338000," I'm just doing the shorts."
338000,339480," - The halo thing was playful,"
339480,340880," but it's happened in my head."
340880,341720," - Was it playful dude?"
